iter	Passed	Remaining
0	1	152
1	3	155
2	4	148
3	5	138
4	7	135
5	8	135
6	9	132
7	11	130
8	12	130
9	14	129
10	16	129
11	17	127
12	18	125
13	20	123
14	21	122
15	22	119
16	24	117
17	25	116
18	26	114
19	28	114
20	30	113
21	32	113
22	33	111
23	34	110
24	36	109
25	37	107
26	39	105
27	40	104
28	41	102
29	43	100
30	44	99
31	45	97
32	47	95
33	48	94
34	50	93
35	51	92
36	53	90
37	54	89
38	56	88
39	57	86
40	59	85
41	59	82
42	60	80
43	62	79
44	63	77
45	64	76
46	66	74
47	67	73
48	69	72
49	70	70
50	72	69
51	73	67
52	75	66
53	76	65
54	77	63
55	79	62
56	80	60
57	81	59
58	83	57
59	84	56
60	85	54
61	86	53
62	88	51
63	89	50
64	90	48
65	92	47
66	93	46
67	95	44
68	96	43
69	97	41
70	99	40
71	100	39
72	102	37
73	104	36
74	105	35
75	107	33
76	108	32
77	109	30
78	110	29
79	112	28
80	113	26
81	114	25
82	115	23
83	117	22
84	118	20
85	119	19
86	121	18
87	122	16
88	124	15
89	125	13
90	126	12
91	127	11
92	129	9
93	130	8
94	131	6
95	133	5
96	135	4
97	138	2
98	138	1
99	140	0
