iter	Passed	Remaining
0	140	140743
1	141	70764
2	142	47379
3	143	35674
4	143	28655
5	144	23994
6	145	20693
7	146	18175
8	147	16229
9	148	14665
10	148	13389
11	149	12326
12	150	11430
13	151	10672
14	152	10005
15	153	9415
16	153	8899
17	154	8429
18	154	8002
19	155	7617
20	155	7270
21	156	6952
22	157	6669
23	157	6404
24	158	6177
25	158	5954
26	159	5745
27	160	5556
28	160	5375
29	161	5207
30	161	5050
31	162	4902
32	162	4761
33	162	4631
34	163	4506
35	163	4390
36	164	4281
37	164	4175
38	165	4077
39	166	3984
40	166	3894
41	167	3809
42	167	3728
43	168	3650
44	168	3576
45	169	3506
46	169	3437
47	170	3373
48	170	3312
49	171	3250
50	171	3193
51	172	3136
52	172	3082
53	172	3029
54	173	2979
55	173	2932
56	174	2886
57	175	2842
58	175	2799
59	176	2757
60	176	2718
61	177	2679
62	177	2642
63	178	2605
64	178	2568
65	179	2533
66	179	2499
67	179	2466
68	180	2435
69	180	2404
70	181	2375
71	182	2346
72	182	2319
73	183	2292
74	183	2264
75	184	2238
76	184	2212
77	185	2187
78	185	2162
79	185	2138
80	186	2115
81	186	2093
82	187	2068
83	187	2046
84	188	2025
85	188	2004
86	189	1984
87	189	1965
88	190	1946
89	190	1927
90	191	1908
91	191	1890
92	191	1871
93	192	1854
94	192	1837
95	193	1820
96	193	1804
97	194	1788
98	194	1773
99	195	1758
100	195	1744
101	196	1729
102	196	1714
103	197	1699
104	197	1685
105	198	1671
106	198	1657
107	199	1644
108	199	1631
109	200	1618
110	200	1605
111	200	1592
112	201	1581
113	201	1569
114	202	1558
115	202	1546
116	203	1534
117	203	1523
118	204	1513
119	204	1502
120	205	1491
121	205	1480
122	206	1469
123	206	1459
124	207	1449
125	207	1439
126	208	1430
127	208	1420
128	209	1411
129	209	1402
130	210	1393
131	210	1383
132	210	1374
133	211	1365
134	211	1357
135	212	1349
136	212	1341
137	213	1332
138	213	1325
139	214	1317
140	214	1309
141	215	1300
142	215	1292
143	216	1284
144	216	1277
145	217	1269
146	217	1261
147	217	1254
148	218	1247
149	218	1239
150	219	1232
151	219	1225
152	220	1218
153	220	1212
154	221	1205
155	221	1199
156	222	1193
157	222	1187
158	223	1180
159	223	1174
160	223	1167
161	224	1160
162	224	1154
163	225	1148
164	225	1142
165	226	1136
166	226	1130
167	227	1125
168	227	1119
169	228	1113
170	228	1107
171	228	1102
172	229	1096
173	229	1091
174	230	1085
175	230	1080
176	231	1075
177	231	1070
178	232	1064
179	232	1059
180	233	1054
181	233	1049
182	234	1044
183	234	1039
184	234	1034
185	235	1030
186	235	1025
187	236	1020
188	236	1015
189	237	1011
190	237	1006
191	238	1002
192	238	997
193	239	993
194	239	989
195	240	985
196	240	981
197	241	977
198	241	972
199	242	968
200	242	963
201	242	959
202	243	955
203	243	951
204	244	947
205	244	943
206	245	939
207	245	935
208	246	931
209	246	928
210	247	924
211	247	920
212	248	916
213	248	913
214	249	909
215	249	905
216	250	902
217	250	898
218	250	894
219	251	891
220	251	888
221	252	884
222	252	881
223	253	877
224	253	874
225	254	871
226	254	867
227	255	864
228	255	861
229	256	857
230	256	854
231	257	851
232	257	847
233	258	844
234	258	842
235	259	839
236	259	835
237	260	832
238	260	829
239	260	826
240	261	823
241	261	820
242	262	817
243	262	814
244	263	811
245	263	808
246	264	805
247	264	802
248	265	799
249	265	797
250	266	794
251	266	791
252	267	789
253	267	786
254	268	783
255	268	781
256	269	778
257	269	775
258	270	773
259	270	770
260	271	768
261	271	765
262	272	763
263	272	760
264	273	758
265	273	755
266	274	753
267	274	750
268	275	748
269	275	745
270	276	743
271	277	741
272	277	739
273	278	737
274	278	734
275	279	732
276	279	730
277	280	728
278	281	726
279	281	723
280	282	721
281	282	719
282	282	716
283	283	714
284	283	712
285	284	710
286	284	707
287	285	705
288	285	703
289	286	701
290	286	698
291	287	696
292	287	694
293	288	692
294	288	689
295	289	687
296	289	685
297	290	683
298	290	681
299	291	679
300	291	677
301	292	675
302	292	673
303	293	671
304	293	668
305	294	666
306	294	664
307	295	662
308	295	660
309	295	658
310	296	656
311	296	654
312	297	652
313	297	651
314	298	649
315	299	647
316	299	645
317	299	643
318	300	641
319	300	639
320	301	637
321	301	635
322	302	633
323	302	631
324	303	630
325	303	628
326	304	626
327	304	624
328	305	622
329	305	620
330	306	618
331	306	616
332	306	614
333	307	612
334	307	610
335	308	609
336	308	607
